"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,17JUN2016,14:29:26,079,01,094,03.85,W,28,17.55,N,-094.064167,28.292500,54.1,53.000,5.98132
"OREGON-II",0318,17JUN2016,17:49:56,080,01,093,59.55,W,28,29.90,N,-093.992500,28.498333,40.9,41.000,5.55409
"OREGON-II",0318,17JUN2016,20:57:41,081,01,094,19.64,W,28,35.67,N,-094.327333,28.594500,34.0,32.000,5.46692
"OREGON-II",0318,17JUN2016,22:52:33,082,01,094,19.08,W,28,31.14,N,-094.318000,28.519000,37.5,36.000,5.7615
"OREGON-II",0318,18JUN2016,01:38:35,083,01,094,31.19,W,28,29.85,N,-094.519833,28.497500,36.6,37.000,4.9437
"OREGON-II",0318,18JUN2016,03:24:26,084,01,094,46.84,W,28,24.04,N,-094.780667,28.400667,39.1,35.000,4.2321
"OREGON-II",0318,18JUN2016,05:22:17,085,01,094,54.93,W,28,27.84,N,-094.915500,28.464000,36.4,34.000,4.4151
"OREGON-II",0318,18JUN2016,07:16:12,086,01,094,57.85,W,28,28.35,N,-094.964167,28.472500,36.3,34.000,4.1668
"OREGON-II",0318,18JUN2016,09:11:21,087,01,094,59.79,W,28,29.93,N,-094.996500,28.498833,34.0,33.000,3.8230
