Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,29JUN2016,20:23:34,173,01,091,59.26,W,28,29.96,N,-091.987667,28.499333,49.6,48.000,5.5129
"OREGON-II",0318,29JUN2016,22:53:30,174,01,091,55.68,W,28,46.04,N,-091.928000,28.767333,29.9,30.000,4.4472
"OREGON-II",0318,30JUN2016,01:13:40,175,01,092,08.90,W,28,46.93,N,-092.148333,28.782167,32.5,31.000,5.9191
"OREGON-II",0318,30JUN2016,03:25:42,176,01,092,01.68,W,28,49.87,N,-092.028000,28.831167,28.2,27.000,4.8289
"OREGON-II",0318,30JUN2016,04:54:17,177,01,092,00.34,W,28,52.02,N,-092.005667,28.867000,26.4,25.000,4.1095
"OREGON-II",0318,30JUN2016,07:04:42,178,01,091,57.99,W,28,53.74,N,-091.966500,28.895667,24.3,23.000,3.0678
"OREGON-II",0318,30JUN2016,09:08:30,179,01,092,04.68,W,28,56.21,N,-092.078000,28.936833,23.8,23.000,2.1872
"OREGON-II",0318,30JUN2016,11:21:06,180,01,092,03.57,W,28,59.23,N,-092.059500,28.987167,21.2,21.000,0.2478
"OREGON-II",0318,30JUN2016,14:01:58,181,01,091,43.15,W,28,56.58,N,-091.719167,28.943000,18.6,17.000,5.3394
"OREGON-II",0318,30JUN2016,15:40:34,182,01,091,35.78,W,28,50.74,N,-091.596333,28.845667,20.8,20.000,4.6956
