"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,25JUN2016,16:59:03,133,01,093,51.50,W,28,47.13,N,-093.858333,28.785500,24.1,24.000,3.4212
"OREGON-II",0318,25JUN2016,17:56:20,133,02,093,52.75,W,28,44.73,N,-093.879167,28.745500,25.1,25.000,2.4041
"OREGON-II",0318,25JUN2016,19:08:02,134,01,094,02.81,W,28,44.68,N,-094.046833,28.744667,26.3,27.000,4.1874
"OREGON-II",0318,25JUN2016,21:22:37,135,01,093,50.16,W,28,39.30,N,-093.836000,28.655000,28.8,29.000,4.3154
"OREGON-II",0318,25JUN2016,23:58:36,136,01,093,39.81,W,28,28.85,N,-093.663500,28.480833,44.7,45.000,5.1433
"OREGON-II",0318,26JUN2016,02:32:28,137,01,093,30.45,W,28,29.85,N,-093.507500,28.497500,43.3,44.000,4.7333
"OREGON-II",0318,26JUN2016,03:42:52,138,01,093,22.81,W,28,26.85,N,-093.380167,28.447500,48.1,48.000,4.8081
"OREGON-II",0318,26JUN2016,06:42:55,139,01,093,38.87,W,28,21.32,N,-093.647833,28.355333,55.7,54.000,5.6452
"OREGON-II",0318,26JUN2016,09:24:43,140,01,093,34.16,W,28,18.46,N,-093.569333,28.307667,59.6,57.000,5.4473
"OREGON-II",0318,26JUN2016,12:30:10,141,01,093,37.57,W,28,05.39,N,-093.626167,28.089833,69.6,70.000,5.3859
"OREGON-II",0318,26JUN2016,15:02:52,142,01,093,29.87,W,27,59.85,N,-093.497833,27.997500,97.3,97.000,4.1912
"OREGON-II",0318,26JUN2016,15:59:33,143,01,093,27.59,W,28,06.19,N,-093.459833,28.103167,80.7,78.000,4.5763
"OREGON-II",0318,26JUN2016,17:42:06,144,01,093,18.85,W,28,04.74,N,-093.314167,28.079000,82.8,83.000,4.5437
