"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,23JUN2016,01:02:10,107,01,093,59.82,W,28,59.50,N,-093.997000,28.991667,20.3,19.000,0.9321
"OREGON-II",0318,23JUN2016,02:36:05,108,01,093,48.41,W,28,55.31,N,-093.806833,28.921833,22.8,22.000,2.3467
"OREGON-II",0318,23JUN2016,05:50:55,109,01,093,48.15,W,29,09.14,N,-093.802500,29.152333,18.6,18.000,0.8374
"OREGON-II",0318,23JUN2016,08:28:27,110,01,093,43.08,W,29,13.12,N,-093.718000,29.218667,16.3,16.000,0.5632
"OREGON-II",0318,23JUN2016,11:36:05,111,01,093,34.14,W,29,24.89,N,-093.569000,29.414833,15.0,14.000,0.0483
"OREGON-II",0318,23JUN2016,15:30:56,112,01,093,31.73,W,29,33.89,N,-093.528833,29.564833,11.7,11.000,0.2163
"OREGON-II",0318,23JUN2016,16:22:37,113,01,093,28.17,W,29,37.99,N,-093.469500,29.633167,10.8,9.000,2.4626
"OREGON-II",0318,23JUN2016,18:08:04,113,02,093,29.42,W,29,36.57,N,-093.490333,29.609500,11.1,10.000,0.8628
"OREGON-II",0318,23JUN2016,19:22:26,114,01,093,20.63,W,29,34.42,N,-093.343833,29.573667,11.8,11.000,0.0755
"OREGON-II",0318,23JUN2016,21:25:40,115,01,093,18.89,W,29,31.23,N,-093.314833,29.520500,13.5,12.000,0.0388
"OREGON-II",0318,24JUN2016,00:17:07,116,01,093,10.84,W,29,34.21,N,-093.180667,29.570167,12.2,11.000,0.0958
"OREGON-II",0318,24JUN2016,02:52:46,117,01,093,00.21,W,29,29.62,N,-093.003500,29.493667,13.2,13.000,0.0636
"OREGON-II",0318,24JUN2016,04:57:03,118,01,092,45.01,W,29,23.64,N,-092.750167,29.394000,14.4,13.000,0.9262
"OREGON-II",0318,24JUN2016,07:25:22,119,01,092,34.82,W,29,17.32,N,-092.580333,29.288667,15.8,15.000,0.9905
"OREGON-II",0318,24JUN2016,10:44:50,120,01,092,20.95,W,29,08.71,N,-092.349167,29.145167,13.9,13.000,5.0603
"OREGON-II",0318,24JUN2016,13:24:30,121,01,092,31.19,W,29,00.01,N,-092.519833,29.000167,25.5,22.000,5.5590
