Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,27JUN2016,22:01:00,156,01,092,59.87,W,28,44.61,N,-092.997833,28.743500,31.1,31.000,5.6138
"OREGON-II",0318,28JUN2016,02:07:35,157,01,092,30.98,W,28,48.78,N,-092.516333,28.813000,32.2,32.000,5.9908
"OREGON-II",0318,28JUN2016,05:21:32,158,01,092,30.53,W,28,29.82,N,-092.508833,28.497000,51.0,50.000,5.2358
"OREGON-II",0318,28JUN2016,06:56:14,159,01,092,42.17,W,28,26.34,N,-092.702833,28.439000,53.8,53.000,5.7233
"OREGON-II",0318,28JUN2016,09:16:23,160,01,092,50.93,W,28,19.49,N,-092.848833,28.324833,56.6,56.000,5.1199
"OREGON-II",0318,28JUN2016,12:10:02,161,01,092,41.96,W,28,06.93,N,-092.699333,28.115500,84.2,85.000,4.5673
"OREGON-II",0318,28JUN2016,15:43:44,162,01,092,29.46,W,28,00.75,N,-092.491000,28.012500,102.1,100.000,4.3650
"OREGON-II",0318,28JUN2016,16:45:08,163,01,092,23.24,W,28,04.61,N,-092.387333,28.076833,98.4,97.000,3.7201
