Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,26JUN2016,19:14:19,145,01,093,13.46,W,28,05.67,N,-093.224333,28.094500,86.0,88.000,3.6139
"OREGON-II",0318,26JUN2016,21:44:18,146,01,093,12.96,W,28,07.25,N,-093.216000,28.120833,79.1,79.000,4.5461
"OREGON-II",0318,27JUN2016,00:57:22,147,01,092,59.49,W,27,59.49,N,-092.991500,27.991500,107.1,106.000,4.4701
"OREGON-II",0318,27JUN2016,02:19:46,148,01,092,53.48,W,28,07.23,N,-092.891333,28.120500,81.3,80.000,4.9766
"OREGON-II",0318,27JUN2016,06:12:26,149,01,093,05.31,W,28,17.01,N,-093.088500,28.283500,59.4,58.000,5.5304
"OREGON-II",0318,27JUN2016,08:35:17,150,01,093,13.14,W,28,20.92,N,-093.219000,28.348667,55.9,54.000,5.5422
"OREGON-II",0318,27JUN2016,11:47:06,151,01,092,53.90,W,28,22.78,N,-092.898333,28.379667,54.8,53.000,5.4365
"OREGON-II",0318,27JUN2016,14:18:08,152,01,092,59.68,W,28,30.21,N,-092.994667,28.503500,45.6,44.000,5.3870
"OREGON-II",0318,27JUN2016,16:33:45,153,01,093,07.14,W,28,44.85,N,-093.119000,28.747500,29.2,28.000,4.8936
"OREGON-II",0318,27JUN2016,18:13:10,154,01,093,05.75,W,28,46.76,N,-093.095833,28.779333,28.8,29.000,5.1668
"OREGON-II",0318,27JUN2016,20:02:52,155,01,093,05.48,W,28,50.68,N,-093.091333,28.844667,26.1,26.000,3.5908
