Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,28JUN2016,19:15:44,164,01,092,07.68,W,28,02.90,N,-092.128000,28.048333,97.1,99.000,4.1565
"OREGON-II",0318,28JUN2016,21:36:11,165,01,091,59.58,W,28,11.89,N,-091.993000,28.198167,73.9,73.000,4.3468
"OREGON-II",0318,28JUN2016,23:20:27,166,01,092,01.67,W,28,09.37,N,-092.027833,28.156167,79.5,78.000,4.3204
"OREGON-II",0318,29JUN2016,04:09:07,167,01,092,30.16,W,28,11.48,N,-092.502667,28.191333,70.3,69.000,3.9656
"OREGON-II",0318,29JUN2016,07:02:38,168,01,092,26.65,W,28,24.10,N,-092.444167,28.401667,58.9,57.000,5.5126
"OREGON-II",0318,29JUN2016,10:21:28,169,01,092,07.79,W,28,32.64,N,-092.129833,28.544000,45.7,44.000,5.5162
"OREGON-II",0318,29JUN2016,12:33:17,170,01,092,04.45,W,28,27.61,N,-092.074167,28.460167,55.4,55.000,4.4508
"OREGON-II",0318,29JUN2016,15:38:15,171,01,091,53.37,W,28,24.24,N,-091.889500,28.404000,59.4,57.000,5.2474
"OREGON-II",0318,29JUN2016,18:11:20,172,01,091,53.24,W,28,28.90,N,-091.887333,28.481667,51.9,50.000,5.4265
