"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,18JUN2016,11:07:30,088,01,095,02.19,W,28,45.50,N,-095.036500,28.758333,22.2,20.000,2.8350
"OREGON-II",0318,18JUN2016,13:06:27,089,01,094,52.50,W,28,50.46,N,-094.875000,28.841000,20.3,18.000,3.5498
"OREGON-II",0318,18JUN2016,15:54:33,090,01,095,02.57,W,28,58.43,N,-095.042833,28.973833,17.2,17.000,2.1895
"OREGON-II",0318,18JUN2016,17:29:11,091,01,094,59.84,W,29,00.00,N,-094.997333,29.000000,17.7,17.000,1.9011
"OREGON-II",0318,18JUN2016,18:15:42,092,01,094,53.01,W,28,59.59,N,-094.883500,28.993167,19.3,18.000,3.3048
"OREGON-II",0318,18JUN2016,20:08:41,093,01,094,54.70,W,29,04.85,N,-094.911667,29.080833,15.5,14.000,1.6915
"OREGON-II",0318,18JUN2016,21:49:59,094,01,094,46.52,W,29,06.62,N,-094.775333,29.110333,17.4,17.000,1.9438
