Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,02JUL2016,19:27:26,204,01,090,11.67,W,28,27.79,N,-090.194500,28.463167,56.6,57.000,3.78434
"OREGON-II",0318,02JUL2016,20:30:59,204,02,090,12.53,W,28,25.12,N,-090.208833,28.418667,59.1,59.000,3.5176
"OREGON-II",0318,02JUL2016,21:58:39,205,01,090,07.53,W,28,32.30,N,-090.125500,28.538333,58.7,58.000,4.1673
"OREGON-II",0318,03JUL2016,00:21:28,206,01,089,59.96,W,28,29.57,N,-089.999333,28.492833,92.4,92.000,4.1297
"OREGON-II",0318,03JUL2016,00:58:33,207,01,090,01.90,W,28,26.26,N,-090.031667,28.437667,81.7,81.000,4.2241
"OREGON-II",0318,03JUL2016,02:36:32,208,01,090,00.67,W,28,21.07,N,-090.011167,28.351167,105.1,103.000,4.0337
"OREGON-II",0318,03JUL2016,09:09:39,209,01,089,36.21,W,28,48.82,N,-089.603500,28.813667,78.7,77.000,3.1153
"OREGON-II",0318,03JUL2016,11:36:38,210,01,089,40.39,W,28,47.65,N,-089.673167,28.794167,77.9,76.000,3.2306
"OREGON-II",0318,03JUL2016,13:51:06,211,01,089,38.74,W,28,43.13,N,-089.645667,28.718833,92.0,91.000,3.2523
