Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,02JUL2016,00:08:18,195,01,090,59.93,W,28,26.82,N,-090.998833,28.447000,38.3,37.000,3.9201
"OREGON-II",0318,02JUL2016,02:11:33,196,01,091,00.28,W,28,29.84,N,-091.004667,28.497333,33.8,32.000,3.7360
"OREGON-II",0318,02JUL2016,04:14:35,197,01,090,51.17,W,28,38.29,N,-090.852833,28.638167,17.5,16.000,3.1981
"OREGON-II",0318,02JUL2016,06:46:14,198,01,090,44.39,W,28,43.61,N,-090.739833,28.726833,18.1,18.000,2.0423
"OREGON-II",0318,02JUL2016,09:10:01,199,01,090,41.99,W,28,49.17,N,-090.699833,28.819500,18.8,18.000,1.8052
"OREGON-II",0318,02JUL2016,12:04:38,200,01,090,35.87,W,28,33.10,N,-090.597833,28.551667,30.8,30.000,3.1865
"OREGON-II",0318,02JUL2016,13:40:29,201,01,090,27.00,W,28,33.52,N,-090.450000,28.558667,36.4,35.000,2.9694
"OREGON-II",0318,02JUL2016,15:33:46,202,01,090,30.17,W,28,29.56,N,-090.502833,28.492667,39.5,38.000,3.7129
"OREGON-II",0318,02JUL2016,16:46:01,203,01,090,23.53,W,28,22.70,N,-090.392167,28.378333,51.6,51.000,3.4770
