"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,16JUN2016,16:53:54,070,01,094,50.90,W,28,10.50,N,-094.848333,28.175000,52.0,51.000,4.8632
"OREGON-II",0318,16JUN2016,18:17:41,071,01,094,48.35,W,28,05.50,N,-094.805833,28.091667,56.0,54.000,5.0437
"OREGON-II",0318,16JUN2016,19:50:55,072,01,094,49.56,W,28,02.09,N,-094.826000,28.034833,72.6,71.000,5.5523
"OREGON-II",0318,16JUN2016,21:28:22,073,01,094,45.45,W,28,00.48,N,-094.757500,28.008000,77.6,76.000,5.7198
"OREGON-II",0318,17JUN2016,01:28:39,074,01,094,36.61,W,28,09.82,N,-094.610167,28.163667,54.7,55.000,5.42149
"OREGON-II",0318,17JUN2016,02:49:03,075,01,094,34.81,W,28,07.95,N,-094.580167,28.132500,57.0,56.000,5.3554
"OREGON-II",0318,17JUN2016,05:14:54,076,01,094,30.53,W,27,59.55,N,-094.508833,27.992500,72.7,72.000,5.7056
"OREGON-II",0318,17JUN2016,08:58:55,077,01,094,03.92,W,27,55.43,N,-094.065333,27.923833,89.1,86.000,5.5171
"OREGON-II",0318,17JUN2016,11:48:57,078,01,094,00.45,W,28,00.17,N,-094.007500,28.002833,81.5,81.000,4.5854
