Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,03JUL2016,17:23:48,212,01,089,12.41,W,28,53.13,N,-089.206833,28.885500,77.7,78.000,4.1747
"OREGON-II",0318,03JUL2016,19:58:14,213,01,088,59.90,W,29,00.46,N,-088.998333,29.007667,66.4,67.000,3.2561
"OREGON-II",0318,03JUL2016,20:53:41,214,01,089,01.93,W,29,00.79,N,-089.032167,29.013167,47.7,52.000,3.5714
"OREGON-II",0318,03JUL2016,23:42:44,215,01,088,56.53,W,29,05.17,N,-088.942167,29.086167,55.9,56.000,3.6715
