"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,11JUN2016,17:58:54,019,01,096,39.93,W,26,59.79,N,-096.665500,26.996500,87.3,86.000,5.18967
"OREGON-II",0318,11JUN2016,19:47:21,020,01,096,53.75,W,27,00.31,N,-096.895833,27.005167,53.7,53.000,4.15735
"OREGON-II",0318,11JUN2016,23:13:12,021,01,096,59.89,W,27,00.26,N,-096.998167,27.004333,41.9,41.000,3.28352
"OREGON-II",0318,12JUN2016,00:05:45,022,01,097,02.42,W,27,04.76,N,-097.040333,27.079333,37.1,34.000,2.72674
"OREGON-II",0318,12JUN2016,02:53:09,023,01,097,11.85,W,27,00.03,N,-097.197500,27.000500,27.4,26.000,0.82171
"OREGON-II",0318,12JUN2016,04:18:49,024,01,097,15.65,W,27,09.32,N,-097.260833,27.155333,21.7,21.000,0.30033
"OREGON-II",0318,12JUN2016,07:49:25,025,01,096,55.32,W,27,19.49,N,-096.922000,27.324833,40.3,39.000,4.2294
