"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,13JUN2016,16:31:15,038,01,096,13.93,W,27,54.46,N,-096.232167,27.907667,48.8,48.000,4.1236
"OREGON-II",0318,13JUN2016,19:34:22,039,01,095,56.25,W,27,49.55,N,-095.937500,27.825833,60.0,58.000,4.9822
"OREGON-II",0318,13JUN2016,22:40:49,040,01,095,52.21,W,27,59.29,N,-095.870167,27.988167,49.0,47.000,4.6397
"OREGON-II",0318,14JUN2016,01:17:56,041,01,096,00.71,W,27,59.43,N,-096.011833,27.990500,46.3,45.000,4.6052
"OREGON-II",0318,14JUN2016,02:49:45,042,01,095,58.29,W,28,09.99,N,-095.971500,28.166500,31.8,30.000,4.1283
"OREGON-II",0318,14JUN2016,05:09:52,043,01,095,52.04,W,28,15.68,N,-095.867333,28.261333,27.6,26.000,3.0908
"OREGON-II",0318,14JUN2016,07:45:30,044,01,095,58.39,W,28,13.01,N,-095.973167,28.216833,28.2,27.000,2.5331
"OREGON-II",0318,14JUN2016,09:43:13,045,01,095,59.37,W,28,18.52,N,-095.989500,28.308667,24.2,22.000,2.2600
